cliente,cnae_subclasse,ano,cnae_subclasse_bcb,codigo_cnae_ibge,atividade_tru68_ibge,sum_carteira_ativa,base_dados
PF,-,2012,-,-,-,987288529788.1057,scr
PF,-,2013,-,-,-,1117671132847.06,scr
PF,-,2014,-,-,-,1297554845371.9265,scr
PF,-,2015,-,-,-,1430410720701.5593,scr
PF,-,2016,-,-,-,1511174966601.4934,scr
PF,-,2017,-,-,-,1589329770027.594,scr
PF,-,2018,-,-,-,1710489087733.2773,scr
PF,-,2019,-,-,-,1894503784997.4177,scr
PF,-,2020,-,-,-,2086381968973.39,scr
PF,-,2021,-,-,-,2456125271734.7974,scr
PF,-,2022,-,-,-,2965220533309.441,scr
PF,-,2023,-,-,-,3371856990508.525,scr
PJ,-,2012,-,-,-,62684240806.688576,scr
PJ,-,2013,-,-,-,72130423929.01418,scr
PJ,-,2014,-,-,-,75172063195.9975,scr
PJ,-,2015,-,-,-,82639526932.13083,scr
PJ,-,2016,-,-,-,77383682044.32167,scr
PJ,-,2017,-,-,-,63984721705.96583,scr
PJ,-,2018,-,-,-,58237021603.66,scr
PJ,-,2019,-,-,-,108348725044.7475,scr
PJ,-,2020,-,-,-,94243622895.72333,scr
PJ,-,2021,-,-,-,89031358750.03084,scr
PJ,-,2022,-,-,-,92842712027.1025,scr
PJ,-,2023,-,-,-,128160787473.73999,scr
PJ,Abate de aves,2012,Abate de aves,1012,1091,4219669811.0142856,scr
PJ,Abate de aves,2013,Abate de aves,1012,1091,5636451702.611667,scr
PJ,Abate de aves,2014,Abate de aves,1012,1091,6645363872.788334,scr
PJ,Abate de aves,2015,Abate de aves,1012,1091,6539250373.003333,scr
PJ,Abate de aves,2016,Abate de aves,1012,1091,8609958770.085833,scr
PJ,Abate de aves,2017,Abate de aves,1012,1091,9339589877.830833,scr
PJ,Abate de aves,2018,Abate de aves,1012,1091,10783001552.039167,scr
PJ,Abate de aves,2019,Abate de aves,1012,1091,11255352288.789167,scr
PJ,Abate de aves,2020,Abate de aves,1012,1091,11248564602.660833,scr
PJ,Abate de aves,2021,Abate de aves,1012,1091,12302543809.918333,scr
PJ,Abate de aves,2022,Abate de aves,1012,1091,14181745671.694166,scr
PJ,Abate de aves,2023,Abate de aves,1012,1091,14248755498.3175,scr
PJ,Abate de pequenos animais,2012,Abate de pequenos animais,1012,1091,189124.72714285715,scr
PJ,Abate de pequenos animais,2013,Abate de pequenos animais,1012,1091,281604.69666666666,scr
PJ,Abate de pequenos animais,2014,Abate de pequenos animais,1012,1091,511724.70916666667,scr
PJ,Abate de pequenos animais,2015,Abate de pequenos animais,1012,1091,174786.5508333333,scr
PJ,Abate de pequenos animais,2016,Abate de pequenos animais,1012,1091,165525.80083333334,scr
PJ,Abate de pequenos animais,2017,Abate de pequenos animais,1012,1091,391405.6966666667,scr
PJ,Abate de pequenos animais,2018,Abate de pequenos animais,1012,1091,407441.2508333333,scr
PJ,Abate de pequenos animais,2019,Abate de pequenos animais,1012,1091,179782.97083333333,scr
PJ,Abate de pequenos animais,2020,Abate de pequenos animais,1012,1091,360018.935,scr
PJ,Abate de pequenos animais,2021,Abate de pequenos animais,1012,1091,189070.94416666668,scr
PJ,Abate de pequenos animais,2022,Abate de pequenos animais,1012,1091,111182.51000000001,scr
PJ,Abate de pequenos animais,2023,Abate de pequenos animais,1012,1091,59790.95250000001,scr
PJ,Acabamento de calçados de couro sob contrato,2012,Acabamento de calçados de couro sob contrato,1531,1500,81183964.53571428,scr
PJ,Acabamento de calçados de couro sob contrato,2013,Acabamento de calçados de couro sob contrato,1531,1500,91677021.11083333,scr
PJ,Acabamento de calçados de couro sob contrato,2014,Acabamento de calçados de couro sob contrato,1531,1500,96149996.98166667,scr
PJ,Acabamento de calçados de couro sob contrato,2015,Acabamento de calçados de couro sob contrato,1531,1500,82532710.84333333,scr
PJ,Acabamento de calçados de couro sob contrato,2016,Acabamento de calçados de couro sob contrato,1531,1500,72766790.96583334,scr
